symbol,exp,strike,right,bid,ask,mid,OI,volume,IV (%)
AAPL  251226C00285000,20251226,285.0,C,0.0,0.0,0.0,7255,0,
AAPL  251226C00300000,20251226,300.0,C,0.0,0.0,0.0,7088,0,
AAPL  251226P00260000,20251226,260.0,P,0.0,0.0,0.0,6874,0,
AAPL  251226C00290000,20251226,290.0,C,0.0,0.0,0.0,6829,0,
AAPL  251226C00280000,20251226,280.0,C,0.0,0.0,0.0,5245,0,
AAPL  251226C00295000,20251226,295.0,C,0.0,0.0,0.0,5200,0,
AAPL  251226P00270000,20251226,270.0,P,0.0,0.0,0.0,3938,0,
AAPL  251226P00275000,20251226,275.0,P,0.0,0.0,0.0,2222,0,
AAPL  251226C00275000,20251226,275.0,C,0.0,0.0,0.0,2152,0,
AAPL  251226P00272500,20251226,272.5,P,0.0,0.0,0.0,1965,0,
AAPL  251226C00270000,20251226,270.0,C,0.0,0.0,0.0,1814,0,
AAPL  251226P00280000,20251226,280.0,P,0.0,0.0,0.0,1713,0,
AAPL  251226P00262500,20251226,262.5,P,0.0,0.0,0.0,1664,0,
AAPL  251226C00265000,20251226,265.0,C,0.0,0.0,0.0,1654,0,
AAPL  251226P00265000,20251226,265.0,P,0.0,0.0,0.0,1644,0,
AAPL  251226P00250000,20251226,250.0,P,0.0,0.0,0.0,1524,0,
AAPL  251226C00257500,20251226,257.5,C,0.0,0.0,0.0,1465,0,
AAPL  251226C00282500,20251226,282.5,C,0.0,0.0,0.0,1066,0,
AAPL  251226C00277500,20251226,277.5,C,0.0,0.0,0.0,978,0,
AAPL  251226P00285000,20251226,285.0,P,0.0,0.0,0.0,973,0,
AAPL  251226C00287500,20251226,287.5,C,0.0,0.0,0.0,905,0,
AAPL  251226P00245000,20251226,245.0,P,0.0,0.0,0.0,897,0,
AAPL  251226P00277500,20251226,277.5,P,0.0,0.0,0.0,770,0,
AAPL  251226C00292500,20251226,292.5,C,0.0,0.0,0.0,751,0,
AAPL  251226C00260000,20251226,260.0,C,0.0,0.0,0.0,749,0,
AAPL  251226P00255000,20251226,255.0,P,0.0,0.0,0.0,734,0,
AAPL  251226P00290000,20251226,290.0,P,0.0,0.0,0.0,483,0,
AAPL  251226P00267500,20251226,267.5,P,0.0,0.0,0.0,364,0,
AAPL  251226C00297500,20251226,297.5,C,0.0,0.0,0.0,278,0,
AAPL  251226C00250000,20251226,250.0,C,0.0,0.0,0.0,229,0,
AAPL  251226P00257500,20251226,257.5,P,0.0,0.0,0.0,201,0,
AAPL  251226C00272500,20251226,272.5,C,0.0,0.0,0.0,200,0,
AAPL  251226C00255000,20251226,255.0,C,0.0,0.0,0.0,173,0,
AAPL  251226C00245000,20251226,245.0,C,0.0,0.0,0.0,113,0,
AAPL  251226C00302500,20251226,302.5,C,0.0,0.0,0.0,82,0,
AAPL  251226C00267500,20251226,267.5,C,0.0,0.0,0.0,40,0,
AAPL  251226P00282500,20251226,282.5,P,0.0,0.0,0.0,37,0,
AAPL  251226P00287500,20251226,287.5,P,0.0,0.0,0.0,30,0,
AAPL  251226C00262500,20251226,262.5,C,0.0,0.0,0.0,13,0,
AAPL  251226P00292500,20251226,292.5,P,0.0,0.0,0.0,9,0,
AAPL  251226P00295000,20251226,295.0,P,0.0,0.0,0.0,1,0,
AAPL  251226P00297500,20251226,297.5,P,0.0,0.0,0.0,1,0,
AAPL  251226P00300000,20251226,300.0,P,0.0,0.0,0.0,1,0,
AAPL  251226P00302500,20251226,302.5,P,0.0,0.0,0.0,0,0,
