symbol,conid
# source: data_test/underlyings_202511.csv (symbol list; conid to be filled)
TSLA,76792991
AAPL,265598
NVDA,4815747
AMZN,3691937
AMD,4391
META,107113386
MSFT,272093
AMC,648081824
GOOGL,208813719
PLTR,444857009
BAC,10098
BABA,166090175
GOOG,208813720
MARA,474219659
INTC,270639
SOFI,494162724
NIO,332794741
COIN,481691285
NFLX,15124833
F,9599491
RIVN,525768800
DIS,6459
PYPL,199169591
SNAP,268060148
C,87335484
PFE,11031
UBER,365207014
CVNA,274144952
RIOT,292830677
CCL,5516
SHOP,195014116
BBBY,15130059
SQ,
XOM,13977
T,37018770
AAL,139673266
GME,36285627
NKLA,
MU,9939
AFRM,465119069
LCID,810758322
JPM,1520593
WFC,10375
AI,459113767
BA,4762
UPST,460492620
GM,80986742
OXY,10880
PLUG,88385302
DKNG,560105364
ROKU,290651477
SCHW,11905
VZ,4901
CSCO,268084
JD,152486141
TSM,6223250
RBLX,476026060
HOOD,504546674
ORCL,272800
XPEV,441828902
WMT,13824
WBD,554208351
JNJ,8719
LYFT,359130923
NKE,10291
KO,8894
ENPH,105368327
TGT,6437
FCX,7089
PINS,360975915
SBUX,274105
CRM,29624264
KVUE,629043863
QCOM,273544
DAL,44001820
ABNB,459530964
MPW,35111040
ZM,361181057
PARA,
CLF,286030327
U,445423543
ATVI,
CVX,5684
CHPT,798495514
DVN,754442
TLRY,835599999
PDD,326398585
MRVL,483492393
UAL,79498203
ET,37830920
RIG,56505491
PBR,10828168
FRC,
CRWD,370757467
CVS,2585769
MULN,
M,44475946
MS,2841574
SPCE,709229198
ADBE,265768
WBA,
X,
COST,272997
PTON,385087203
CHWY,370766146
PANW,110619459
CCJ,1447060
GS,4627828
AVGO,313130367
NCLH,120643512
CAT,5437
HD,7930
IBM,8314
BYND,364036112
FUBO,441289672
DOCU,316073742
BX,372834689
DDOG,383858515
NEM,10174
V,49462172
BMY,5111
AMAT,266093
SIRI,727785544
BP,5171
VALE,60581038
W,168812158
SU,64731225
PACW,
TTD,248755440
LI,436980133
BIDU,35359385
CGC,673392035
MO,9769
ABBV,118089500
RTX,415342104
FSLR,41622169
RUN,202225016
SMCI,731466419
UPS,6231002
AA,251962528
TWLO,237794430
LULU,45157951
LUV,9282
FTCH,
NEE,75960201
FDX,5100583
LLY,9160
MRK,70101545
MCD,9408
COP,10885
UNH,13272
GE,498843743
JBLU,14765981
CMCSA,267748
AGNC,249963585
NET,382633646
SI,802794981
LVS,32602412
DASH,459309417
QS,457599435
ZS,310621426
SLB,12200
USB,11669769
ETSY,190480965
WYNN,16454492
PG,11054
ENVX,502252061
DISH,
LUMN,446613345
CS,
MSTR,272110
MMM,9720
NVAX,365598061
TDOC,198563873
LAZR,743521179
BB,131217639
TEVA,275085
PEP,11017
MRO,
KMI,83975037
HAL,7890
RCL,11520
TXN,13096
SWN,
BILI,311571413
ZIM,468091282
PENN,4816415
MDB,292833239
AXP,4721
BHC,325536414
TMUS,125980227
ON,8677881
KSS,8942
MA,38685693
HUT,669228291
ABT,4065
MGM,9560
VFS,648093140
KHC,199169586
EOSE,455592457
APA,474515500
IQ,312029611
KEY,8809
OKTA,272356196
FUTU,356068332
SPWR,642706634
VLO,13497
GPS,
JWN,
BHG,
TRP,362155244
FCEL,740517233
LOW,9199
WAL,35090283
AR,135942630
LRCX,732440574
HPQ,209411801
EQT,57698865
AZN,4521593
DE,6393
AG,41855679
VFC,13440
DG,70212228
CM,6607659
SPOT,312496724
TFC,393460310
MDT,181387075
ALLY,148233980
EBAY,4347086
KR,8908
GILD,269753
NLY,585013481
KGC,8823
CPNG,475686899
HZNP,
MANU,111853004
ONON,513880603
TECK,39921623
WDC,13681
Z,201942684
TOST,516097394
SAVE,
DLTR,49388062
ALB,4347
BEKE,439236278
LMT,611191
COF,5941
FL,
CLSK,395179962
FSLY,366131373
ARM,653400472
AEM,4205
GOEV,
EXPE,98542021
CVE,70021622
MTCH,430252818
ULTA,46970422
ANET,740948854
BBY,4817
CELH,71364351
NOW,109911821
MET,8093509
VOD,144463724
CNQ,11926119
ENB,4730124
BLNK,287428879
FTNT,70236214
MOS,88292752
GT,7830
KMX,2586156
HL,8027
CROX,37792836
NVO,10611
EPD,6607910
CMG,37655664
SPLK,
TD,2009210
SEDG,188625650
MPC,89495776
IONQ,517593749
NOK,661513
WW,794639097
AMGN,266145
APPS,180352934
OSTK,
TSEM,111792216
PCG,2586035
DKS,16310970
RY,2008980
MVIS,102558681
IEP,46149880
FFIE,
ZION,276329
TSN,275405
SHEL,540900810
TJX,12814
UBS,172721087
BUD,61481454
TUP,
ASML,117902840
BSX,5270
SGEN,
BILL,395196161
TGTX,106810749
AFL,4227
GNRC,72529783
WISH,
QSR,176372132
MLCO,41951960
STNG,349869083
BKNG,308728373
AAP,4027
NUE,10557
NYCB,
TTWO,6478131
UNP,13284
HON,4350
RH,258821404
FANG,115441080
RDFN,
SNDL,575890378
ABR,29661257
PNC,11240
CRSP,252260612
LEN,9091
XELA,630920232
ADM,4165
DHI,268627
MGA,9545
PCT,477149077
MFC,1447100
TEAM,589316251
HTZ,500289391
ING,2865956
TAL,80269548
ADI,4157
PM,49588376
# APRN removed (missing SecDef/ConId)
SOUN,558869874
ASAN,447584483
PAAS,4816190
WE,
EOG,6890
STNE,339001919
DXCM,33837089
GRAB,530319709
BITF,497901061
TELL,
FIS,37866641
HE,7947
RIO,4095586
STX,491932113
GTLB,520512263
CLOV,464040647
WDAY,115324104
APLD,556067819
FHN,269555
VRT,402783527
ASTS,480745767
CMA,5800
SFIX,296466074
HSBC,4875668
APLS,295518928
LMND,430625913
MAR,9358
DB,13435352
ACN,67889930
AEO,4725951
EBIX,
SLG,537789289
EL,1448477
GIS,7616
ISRG,9063285
NTR,301035662
SAVA,358913768
JMIA,360310571
PSX,105669270
VRM,754526160
MCHP,271568
RKLB,787273575
FITB,269318
HUM,8251
COTY,129131475
PSTG,208813725
INTU,270662
PXD,
GSAT,760229174
GRPN,426480582
SPR,
APO,535288388
NOVA,
DHR,6442
MELI,45602025
LAC,657517509
SRPT,110434131
CTRA,5946
CF,35447205
MDLZ,113599091
WPM,274836867
BBIG,630382760
HES,
ROST,273939
DLR,31832526
APP,481863646
ANF,2585399
VKTX,192379311
MP,455592408
SPY,756733
QQQ,320227571
IWM,9579970
TQQQ,72539702
SQQQ,831082828
TLT,15547841
SLV,39039301
GLD,51529211
UVXY,829567196
EEM,6604766
XLF,4215220
HYG,43652089
KRE,45540822
SOXL,73340487
ARKK,172522644
GDX,229726316
EWZ,10753244
XLE,4215217
FXI,31421120
EFA,13002510
SPX,
VIX,
XSP,
RUT,
